id ! name ! dob ! ssn ! address ! address2 ! city ! state ! zip ! version
12345 ! Hilda Schrader Whitcher ! 490075200750 ! 078-05-1120 ! 33 Main St !  ! Lockport ! NY ! 14094 ! v1
32345 ! Hope Kent ! -868910399538 ! 997-73-0491 ! 8303 South Lake View St. !  ! Chicopee ! MA ! 01020 ! v1
19042 ! Monica Wilcox ! -273355199519 ! 975-02-0740 ! 50 Prairie Street !  ! Oxnard ! CA ! 93035 ! v1
74822 ! Delilah Barker ! 894945600965 ! 952-81-0327 ! 7116 Thomas Avenue !  ! Altamonte Springs ! FL ! 32714 ! v1
33085 ! Keyaan Carey ! 422510400323 ! 969-84-0624 ! 879 Westminster Street !  ! Riverside ! NJ ! 08075 ! v1
95256 ! Casey Finley ! 720680400847 ! 922-23-0154 ! 88 Delaware St. !  ! Parlin ! NJ ! 08859 ! v1
29186 ! Aron Stevens ! 756968400130 ! 908-87-0314 ! 270 Washington Lane !  ! Grand Island ! NE ! 68801 ! v1
30671 ! Jason Watson ! 66718800907 ! 949-83-0961 ! 40 Lake View Rd. !  ! Glenside ! PA ! 19038 ! v1
93388 ! Isabelle Lowery ! -821735999040 ! 929-87-0133 ! 88 Bishop Circle !  ! Granger ! IN ! 46530 ! v1
73945 ! Lillian Mccann ! -69019199872 ! 920-69-0102 ! 7733 Coffee Street !  ! Williamstown ! NJ ! 08094 ! v1
37869 ! Ameer Russo ! 234417600224 ! 975-54-0314 ! 72 Tallwood Street !  ! Kings Mountain ! NC ! 28086 ! v1
